date_of_stay,trip_type,date_of_review,review,review_title,nationality
Stayed 2 nights in February 2019,Group,"Reviewed February 25, 2019","I was in Singapore to celebrate  my birthday, and had put in a special request for something special if possible, the staff not only wished me happy birthday but also decorated the room and had a birthday cake for me! Cake was from the bakery and was delicious! Can’t thank the staff enough for an unforgettable stay :) 

Definitely coming back here for my next visit!! ",LOVED MY STAY! ”,Inwho from Thailand
Stayed 4 nights in February 2019,Couple,"Reviewed March 02, 2019","We were very disappointed with the rude and unhelpful staff at the Orchard Mandarin Hotel.  Room airconditioner wasn't working properly and it took two visits from maintenance staff to eventually get it working at about 1am in morning.  First old grumpy guy turned up and didn't listen to the actual problem.  Front desk staff particularly rude and unhelpful with lots of arrogance, they certainly don't respect customers with their poor attitude but this is something that's becoming the norm in Singapore.  Will avoid this costly hotel and poor staff experience in furture. ",Disappointing for a supposedly 5 star hotel”,Warren from Brunei Darussalam
Stayed 1 night in February 2019,Couple,"Reviewed March 05, 2019",good location and friendly staff ,good location”,TEO from Malaysia
Stayed 4 nights in July 2018,Family with young children,"Reviewed February 26, 2019","Directly located on Orchard Rd you have everything nearby, do everything by foot, unless you do the usual sightseeing, even then public transport is just amazing. As to the hotel, kind staff, spaceous room and great breakfast, slightly overcrowded, but we were shown to our table, didn't have to wait at all. ",S'Pore is always worth a trip”,John from Germany
Stayed 2 nights in December 2018,Couple,"Reviewed March 06, 2019","Overall is good. Maybe is time to upgrade new room furniture.

No other complaint. Great.",Overall is good. Maybe is time to upgrade new room furniture.”,Kung from Malaysia
Stayed 2 nights in January 2019,Group,"Reviewed January 30, 2019","This was the best 5 star hotel without the 5 star price. The facilities, amenities and breakfast were superb! The location was in the heart of the action. I recommend visiting the Botanical Garden which I return to each time I'm in Singapore. Also recommend downloading the ""grab"" app on your cell phone for transportation to save a few bucks in this expensive town! The subway train is also an alternative, but it may not be convenient for some locales.",Very good value”,byron from United States
Stayed 3 nights in January 2019,Family with teens,"Reviewed January 24, 2019","This hotel is superbs in terms of location. Clean and it has been newly refurbished. But it's interiror quality did not match up with the overpriced rate. I stayed at the Premier Double Room  for 3 nights. The sliding wardrobe door has fallen and broken. The door to the refrigerator cabinet was cheaply made and it made such a loud cracking noise when it's opened and closed. The bathroom doesnt have shower box. It was an old bathtub with a shower in one. The shower head didnt stay put on the shower pole. It kept sliding off down and kept turning left or right  The Hot/Cold water adjustment handle is so hard to manage. It was so frustrating when taking a shower. All in all.. i wouldnt mind so much if it wasn't overpriced, just because of the perfect location.",Excellent”,Hendra from Indonesia
Stayed 4 nights in December 2018,Family with teens,"Reviewed January 14, 2019","If you're looking for a place to stay in the middle of the upper to mid Orchard Road shopping area, the Mandarin Oriental is in one of the best possible locations.

The rooms we were given were clean although a bit dated. They were also rather close to the elevators which did not help with noise levels.

Lots of eateries in the nearby shopping centres so you will not find it difficult to get a bite or a drink. All in all a good experience for us.",Great location”,Jeffrey from Australia
Stayed 3 nights in January 2019,Family with young children,"Reviewed January 14, 2019","Im stay here for 3 nights, very recommend hotel with greats location.
access to mall from lobby hotel, cleanliness room and great facilities.
and suprisingly there have a mobile phone in the room,  make us easy to communicate with other, browsing etc.
very recommend for you guys to find hotel in orchard area.",Recommend Hotel Great Location”,Nadya from Indonesia
Stayed 2 nights in December 2018,Family with young children,"Reviewed January 07, 2019",Love The New Refurbish Room. And most Love the Location. Nice helpful Reception named Zoey Ou Yang (she is in training but very capable and helpful person). U can shop til you drop and go back to your hotel for recharge and take a shower then go out again freshly and shopping centres all nearby. Best Hotel!,Best Hotel in The Heart of Orchard Road”,Josephine from Indonesia
